contract_address,token_id,ipfs_cid,name,description
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,30809,QmRXdjpCQHhDaJRp7QEzME6novdxKPk88AmYpjLwK6PGXu,MOLOCH,"
Fight Fear and you will always be free. 

Music by Matermanto. 

GA - 2018  2160x3840px"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,29657,QmaAcbHnNikmpnWwZiM5GbcaUbnb6Pdi8HJop4RjtLxX77,Imperfect Machine,"All machines are imperfect, but some are more fun that others. A love letter to NFTs by Hackatao for FlamingoDAO"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,29571,QmYDeemXjtiuuAUxTnUYU7UfQBbwrHCVWf2vFpfjtseeWz,BEYOND THE VOID,"“In this ARTISTIC EXCHANGE between Hackatao and Fontana, the main character is everything that goes BEYOND and that is captured by and through the gashes as well as by the eyes themselves. That light that lies beyond our universe or reality, as we perceive it, to which Fontana has opened the way with an act of CONSTRUCTION rather than DESTRUCTION, like that of his cuts. And today it is precisely those gashes to be the point of contact which brings both Hackatao and Fontana in the same space at the same time; thus giving us the opportunity of an all-round vision of what transpires behind and beyond the CANVAS, of two different and dual entities, two surfaces, two worlds. In BEYOND THE VOID these cuts are both black holes and/or glimpses; the precise point at which the universe gathers"".
E. Brizi. The work, presented on October 17th 2021 at Ca’ La Ghironda Museum in collaboration with Zanini Arte Gallery and curated by Eleonora Brizi - is in dialogue with CONCETTO SPAZIALE 1962 / Attese N°62 T8 by Lucio Fontana."
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,26117,QmQLQXdKWCYXDe1NQMvjTvbXnE9BBn5hfNyTRhYSyfXSDR,Hack of a Bear XR,"This is the 3d model of the head of the bear that was created for the piece ""Hack of a Bear"" by Hackatao. 

This piece is donated by Hackatao to the Museum of Crypto Art.
In response to Head of a Bear by Leonardo da Vinci, offered in the Exceptional Sale at Christie's London July 2021, the artists duo Hackatao have created a work inspired by the Old Master drawing, bringing the bear majestically to life. This specially commissioned digital work in Augmented Reality, unveiled at Christie's King Street 3-8 July, is visible via the Aria AR app.
The project was done in collaboration with MOCA Museum of Crypto Art and Christie's.
""This the story of the continuum of art: a superior force that knows neither age nor place. A tale about the most contemporary art, once known as Renaissance art, today going by the name of crypto art.” Eleonora Brizi 

The art piece is permanently displayed at MOCA in Somnium Space, parcel #967"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,26025,QmVGnRjvieuvumRi6sKiGb7cQvks6H3CCfvwTkKsrknVJj,HACK of a BEAR - The Artist,"This work is a tribute to the multifaceted genius of Leonardo da Vinci. His studies, his works, his projects have always been a stimulus for all generations of artists, scientists and architects that came after the Old Master. This work is part of the project Hack of a Bear, commissioned by Christie’s, realised in collaboration with the Museum of Crypto Art. ”As a response to Head of a Bear by Leonardo da Vinci, Hackatao bring the silverpoint form to life in the Metaverse by performing research and a study of nature by digital means.” https://hackatao.com/hack-of-a-bear"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,26024,QmNteS7oPhGjCbtNDsa4AAmthKVEsx5w5q43jiZvdZQtB8,HACK of a BEAR - The Architect,"This work is a tribute to the multifaceted genius of Leonardo da Vinci. His studies, his works, his projects have always been a stimulus for all generations of artists, scientists and architects that came after the Old Master. This work is part of the project Hack of a Bear, commissioned by Christie’s, realised in collaboration with the Museum of Crypto Art. ”As a response to Head of a Bear by Leonardo da Vinci, Hackatao bring the silverpoint form to life in the Metaverse by performing research and a study of nature by digital means.”  https://hackatao.com/hack-of-a-bear"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,26021,QmXGFwZMR9f1mfHCQ8Y9QNA4Wo7Z8dNURqHjxbUysgQNqs,HACK of a BEAR - The Scientist,"This work is a tribute to the multifaceted genius of Leonardo da Vinci. His studies, his works, his projects have always been a stimulus for all generations of artists, scientists and architects that came after the Old Master. This work is part of the project Hack of a Bear, commissioned by Christie’s, realised in collaboration with the Museum of Crypto Art.
”As a response to Head of a Bear by Leonardo da Vinci, Hackatao bring the silverpoint form to life in the Metaverse by performing research and a study of nature by digital means.”
 https://hackatao.com/hack-of-a-bear 
"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,25999,QmScZSpD8ME5QVKZcEmMq5mjvrAJduWgkuGXk6eq8tcsmN,Hack of a Bear,"The 15th and 21st centuries meet: Leonardo Da Vinci’s ""Head of a bear"" reborn in the metaverse by Hackatao 
https://hackatao.com/hack-of-a-bear

In response to Head of a Bear by Leonardo da Vinci, offered in the Exceptional Sale at Christie's London July 2021, the artists duo Hackatao have created a work inspired by the Old Master drawing, bringing the bear majestically to life.
This specially commissioned digital work in Augmented Reality, unveiled at Christie's King Street 3-8 July, is visible via the Aria AR app.
The NFT is on display in a virtual exhibition on the Arium platform in collaboration with MoCa, curated by Eleonora Brizi. https://arium.xyz/spaces/hack-of-a-bear

“This is the story of the continuum of art: a superior force that knows neither age nor place. A tale about the most contemporary art, once known as Renaissance art, today going by the name of crypto art.”
Eleonora Brizi 

Read full curatorial text here: 
https://www.artsy.net/breezy-art/article/breezy-art-leonardo-da-vinci-reborn-metaverse-hackatao-christie

Augmented Reality 3D sound animation "
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,24404,QmPVrnSRBxkN5meETKPQF92k5xCvu5cow3H49GqRQZBWqU,Queen of PUNKS,"Artwork inspired by Courtney (CryptoPunk 2146), one of the protagonists of PUNKS Comic Genesis, Issue 1, May 2021.
In partnership with PUNKS Comic by Pixel Vault (punkscomic.com)"
0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,19319,QmZzSv6ZPhDu5naUQrv9zXUGgsbSxjg2A1cPTvE8XJV2wu,Promised Land,"In 2021, the art of Hackatao meets that of the old Italian master Guercino. 
The project “Promised Land” was curated by Alessandro Mescoli and Eleonora Brizi for CRAC Art Space in Castelnuovo Rangone (MO), Italy. 
On display from February 7th to March 28th. 
The art piece “Moses” by Guercino is courtesy of Ossimoro Art Gallery.

The millenial rest of Moses and his awakening, which Hackatao imagined through their artistic gesture of creating a work in narrative dialogue with Guercino’s Moses, represents a literary continuation. Even with passing millenia the dramas and needs of human beings change not in essence, but in form only. 

In the exodus of the 21st century, people flood without guidance to escape the horror; and to set out for the Promised Land.

Readmore: https://www.artsy.net/breezy-art/article/breezy-art-promised-land-hackatao-guercino

Music by Matermanto"
